id,fiyat,platform,cinsiyet,ülke,yaş
9932,4,android,female,ESP,31
9933,50,android,female,USA,38
9934,51,ios,female,TUR,32
9935,17,ios,male,BRA,44
9936,29,android,female,RUS,53
9937,8,ios,male,RUS,62
9938,49,android,female,JPN,27
9939,20,android,male,DEU,31
9940,41,android,male,USA,45
9941,34,android,female,USA,18
9942,46,android,male,GBR,43
9943,49,android,female,IND,56
9944,26,android,female,GBR,58
9945,38,ios,female,RUS,23
9946,5,android,female,TUR,45
9947,10,android,male,USA,36
9948,36,android,female,RUS,57
9949,12,android,male,RUS,47
9950,42,android,female,FRA,34
9951,41,android,female,FRA,51
9952,27,android,female,FRA,38
9953,46,ios,male,JPN,26
9954,37,ios,female,IND,25
9955,47,android,male,ESP,55
9956,1,ios,female,FRA,30
9957,18,android,female,IND,59
9958,46,android,female,FRA,23
9959,18,ios,female,IND,46
9960,28,ios,female,DEU,18
9961,12,ios,female,JPN,26
9962,46,android,female,RUS,51
9963,38,android,male,FRA,41
9964,17,ios,male,RUS,43
9965,51,ios,male,TUR,54
9966,19,android,male,USA,29
9967,14,ios,male,ESP,42
9968,12,ios,male,JPN,63
9969,40,ios,female,JPN,55
9970,29,ios,female,DEU,48
9971,35,ios,male,JPN,56
9972,4,android,male,IND,39
9973,29,android,male,RUS,43
9974,32,android,female,IND,62
9975,50,android,female,FRA,24
9976,49,ios,male,BRA,36
9977,43,android,male,USA,37
9978,32,ios,female,DEU,58
9979,18,android,male,BRA,43
9980,45,ios,male,DEU,25
9981,33,android,female,ESP,62
9982,11,android,male,TUR,52
9983,10,android,male,JPN,33
9984,6,android,male,BRA,19
9985,50,android,male,JPN,26
9986,17,android,female,IND,61
9987,51,ios,male,USA,28
9988,20,ios,male,ESP,19
9989,26,android,male,DEU,27
9990,37,ios,male,DEU,20
9991,26,ios,male,DEU,40
9992,39,ios,male,BRA,30
9993,26,android,female,FRA,36
9994,12,android,male,TUR,54
9995,2,android,female,JPN,58
9996,42,ios,female,ESP,24
9997,45,ios,male,JPN,48
9998,8,android,female,BRA,43
9999,6,android,male,IND,34
10000,8,ios,male,JPN,29
10001,9,android,female,DEU,48
10002,4,ios,female,BRA,59
10003,6,android,female,BRA,45
10004,34,android,female,USA,32
10005,49,android,female,DEU,53
10006,46,ios,female,JPN,27
10007,22,ios,female,RUS,30
10008,19,android,female,BRA,54
10009,12,ios,male,DEU,18
10010,49,android,female,IND,32
10011,44,android,male,BRA,57
10012,10,ios,female,RUS,62
10013,14,ios,male,JPN,39
10014,10,android,male,GBR,58
10015,18,android,female,BRA,22
10016,32,ios,male,ESP,21
10017,10,ios,male,IND,48
10018,22,android,male,USA,20
10019,12,ios,male,GBR,33
10020,18,android,female,IND,45
10021,46,android,male,RUS,29
10022,28,ios,male,GBR,21
10023,17,android,female,USA,52
10024,16,ios,male,TUR,29
10025,4,android,male,IND,37
10026,7,ios,male,BRA,18
10027,5,ios,male,RUS,58
10028,22,ios,female,JPN,45
10029,16,ios,female,DEU,58
10030,15,ios,male,DEU,19
10031,42,ios,male,USA,22
10032,17,android,male,USA,41
10033,33,ios,female,ESP,35
10034,51,ios,male,BRA,62
10035,31,ios,female,TUR,49
10036,6,android,male,GBR,40
10037,31,android,female,USA,45
10038,39,android,female,ESP,32
10039,49,android,male,BRA,38
10040,33,ios,male,RUS,48
10041,29,android,male,RUS,53
10042,5,ios,female,JPN,29
10043,22,android,male,ESP,20
10044,8,android,female,USA,21
10045,49,android,female,TUR,57
10046,30,ios,male,DEU,28
10047,35,ios,female,IND,22
10048,25,android,female,GBR,27
10049,51,android,female,USA,55
10050,22,ios,male,RUS,42
10051,47,android,female,IND,53
10052,16,ios,male,JPN,26
10053,30,ios,male,FRA,48
10054,25,android,female,IND,22
10055,12,android,male,JPN,28
10056,38,ios,female,TUR,48
10057,19,android,female,USA,50
10058,11,ios,male,RUS,32
10059,12,android,male,TUR,19
10060,45,ios,male,DEU,37
10061,18,ios,female,TUR,34
10062,2,ios,male,JPN,43
10063,25,ios,male,USA,64
10064,33,android,female,JPN,57
10065,8,ios,female,FRA,38
10066,42,ios,female,TUR,30
10067,36,android,female,DEU,23
10068,5,android,female,JPN,42
10069,22,ios,male,RUS,57
10070,9,ios,male,FRA,36
10071,46,android,female,JPN,44
10072,4,android,male,FRA,48
10073,26,android,female,GBR,60
10074,33,android,female,FRA,41
10075,11,ios,male,BRA,59
10076,8,ios,male,USA,40
10077,31,ios,female,JPN,49
10078,37,android,male,IND,29
10079,23,ios,female,USA,28
10080,4,ios,female,RUS,36
10081,42,ios,female,DEU,30
10082,14,android,male,TUR,54
10083,23,android,female,IND,30
10084,38,ios,male,IND,33
10085,24,ios,female,IND,40
10086,46,ios,female,IND,53
10087,15,android,male,RUS,52
10088,21,android,male,DEU,30
10089,40,ios,male,BRA,34
10090,19,android,female,JPN,42
10091,4,android,male,USA,59
10092,42,ios,female,IND,52
10093,28,android,female,ESP,50
10094,38,ios,male,JPN,18
10095,49,ios,male,DEU,31
10096,47,ios,female,ESP,50
10097,9,ios,male,USA,21
10098,36,ios,female,ESP,36
10099,8,ios,female,GBR,22
10100,8,android,male,GBR,26
10101,24,android,male,ESP,49
10102,16,ios,female,GBR,24
10103,10,android,female,ESP,56
10104,12,android,female,FRA,18
10105,36,ios,male,ESP,41
10106,20,ios,female,RUS,22
10107,31,ios,female,IND,37
10108,2,ios,female,RUS,20
10109,29,ios,male,FRA,50
10110,30,android,male,ESP,20
10111,6,android,male,JPN,32
10112,14,android,female,TUR,62
10113,13,ios,female,IND,36
10114,4,ios,female,IND,57
10115,34,ios,male,USA,30
10116,48,ios,female,BRA,51
10117,16,android,female,IND,24
10118,21,ios,male,JPN,28
10119,11,ios,male,USA,36
10120,36,android,female,FRA,30
10121,27,ios,male,JPN,45
10122,41,android,female,ESP,26
10123,38,android,female,TUR,24
10124,9,android,male,IND,44
10125,34,android,male,GBR,21
10126,11,android,male,GBR,49
10127,25,android,male,IND,39
10128,41,android,female,TUR,34
10129,19,ios,male,TUR,29
10130,17,ios,male,USA,38
10131,24,ios,male,TUR,55
10132,18,ios,female,FRA,57
10133,2,android,female,BRA,57
10134,22,ios,female,DEU,47
10135,11,ios,male,TUR,25
10136,12,android,male,BRA,38
10137,26,android,female,BRA,50
10138,10,android,female,IND,33
10139,6,android,female,JPN,63
10140,35,ios,male,RUS,42
10141,29,android,female,DEU,26
10142,2,android,female,TUR,57
10143,17,android,female,IND,60
10144,25,android,male,GBR,29
10145,41,ios,female,DEU,48
10146,47,android,female,DEU,37
10147,33,android,female,ESP,43
10148,10,ios,female,ESP,60
10149,40,ios,male,GBR,34
10150,24,ios,female,BRA,53
10151,49,android,male,GBR,59
10152,17,ios,female,FRA,53
10153,38,android,female,JPN,19
10154,48,android,male,BRA,48
10155,10,android,female,BRA,35
10156,48,android,female,GBR,47
10157,3,ios,male,USA,24
10158,7,android,male,JPN,38
10159,44,android,male,TUR,60
10160,3,android,male,RUS,23
10161,29,ios,male,ESP,49
10162,45,android,female,RUS,60
10163,3,ios,male,FRA,56
10164,23,android,female,ESP,29
10165,8,android,female,USA,27
10166,24,ios,female,IND,46
10167,18,android,female,GBR,62
10168,13,ios,male,ESP,64
10169,35,ios,female,BRA,23
10170,11,android,female,RUS,20
10171,30,android,male,TUR,64
10172,18,android,male,RUS,44
10173,25,android,female,GBR,44
10174,33,ios,male,FRA,62
10175,48,ios,male,GBR,65
10176,3,android,female,TUR,21
10177,16,android,female,JPN,55
10178,5,ios,male,BRA,18
10179,40,ios,female,DEU,60
10180,50,ios,female,GBR,48
10181,48,android,female,IND,20
10182,48,android,female,DEU,36
10183,3,android,male,IND,43
10184,26,android,male,FRA,48
10185,22,android,female,IND,60
10186,4,android,female,USA,64
10187,30,ios,female,GBR,61
10188,14,android,female,GBR,22
10189,50,ios,female,RUS,64
10190,35,android,male,IND,39
10191,32,android,female,IND,23
10192,40,android,male,DEU,32
10193,2,ios,female,IND,57
10194,16,android,female,FRA,29
10195,40,ios,female,IND,31
10196,23,android,female,DEU,54
10197,33,ios,male,TUR,30
10198,26,ios,female,BRA,23
10199,35,android,male,JPN,55
10200,39,android,female,IND,26
10201,8,android,female,JPN,57
10202,47,android,male,BRA,63
10203,8,android,male,USA,30
10204,22,android,male,RUS,57
10205,42,android,male,IND,61
10206,29,ios,male,IND,47
10207,36,android,female,DEU,38
10208,43,android,male,ESP,52
10209,39,android,female,RUS,60
10210,4,android,male,USA,57
10211,28,ios,female,IND,43
10212,17,ios,male,RUS,19
10213,2,ios,male,JPN,21
10214,24,android,male,IND,50
10215,23,android,male,USA,25
10216,7,ios,male,GBR,60
10217,34,android,female,RUS,46
10218,48,android,female,ESP,19
10219,36,android,female,FRA,37
10220,50,ios,male,DEU,49
10221,33,android,female,JPN,26
10222,21,android,male,USA,63
10223,50,android,female,GBR,44
10224,40,android,male,TUR,21
10225,34,ios,female,USA,20
10226,48,ios,male,GBR,45
10227,7,ios,male,IND,32
10228,43,android,female,RUS,53
10229,11,android,male,GBR,57
10230,8,android,female,DEU,60
10231,9,ios,male,TUR,41
10232,41,ios,female,DEU,21
10233,15,android,female,FRA,26
10234,42,android,male,ESP,46
10235,38,ios,male,ESP,43
10236,45,android,male,RUS,55
10237,6,android,female,JPN,50
10238,28,ios,male,GBR,62
10239,37,android,male,IND,40
10240,10,ios,male,BRA,36
10241,25,android,female,GBR,29
10242,15,android,male,JPN,24
10243,47,android,male,GBR,22
10244,23,ios,male,TUR,30
10245,43,ios,female,DEU,29
10246,28,android,female,TUR,21
10247,32,android,female,GBR,23
10248,7,android,female,GBR,54
10249,22,android,female,IND,32
10250,8,ios,female,USA,24
10251,16,android,male,BRA,33
10252,12,ios,female,IND,20
10253,17,android,female,ESP,19
10254,24,android,female,RUS,65
10255,23,ios,male,RUS,48
10256,47,android,female,USA,31
10257,32,android,female,DEU,50
10258,1,ios,female,DEU,35
10259,35,ios,male,JPN,32
10260,11,android,female,JPN,56
10261,22,android,female,TUR,25
10262,11,ios,female,USA,33
10263,45,ios,female,TUR,64
10264,51,ios,female,IND,28
10265,40,ios,female,GBR,31
10266,29,android,female,FRA,45
10267,44,ios,female,IND,57
10268,20,ios,male,FRA,33
10269,9,android,male,DEU,46
10270,23,android,female,FRA,58
10271,37,ios,male,FRA,35
10272,8,android,male,TUR,57
10273,16,android,female,IND,64
10274,18,android,male,DEU,40
10275,18,ios,female,TUR,20
10276,25,android,female,GBR,55
10277,27,android,female,IND,20
10278,24,android,male,IND,37
10279,12,android,female,GBR,31
10280,47,android,male,GBR,50
10281,43,android,female,TUR,31
10282,20,ios,male,USA,36
10283,22,android,female,USA,42
10284,10,android,male,DEU,37
10285,48,ios,male,BRA,24
10286,35,android,female,FRA,44
10287,4,android,female,DEU,31
10288,36,android,female,JPN,62
10289,28,ios,female,FRA,37
10290,26,ios,female,DEU,58
10291,22,android,female,FRA,18
10292,34,ios,female,JPN,22
10293,10,ios,male,FRA,43
10294,35,ios,male,RUS,64
10295,17,ios,male,IND,37
10296,17,ios,female,GBR,25
10297,43,ios,female,FRA,46
10298,1,ios,male,TUR,24
10299,37,ios,male,USA,34
10300,19,android,female,GBR,52
10301,36,android,female,TUR,19
10302,43,android,male,TUR,18
10303,33,android,male,JPN,38
10304,12,android,female,IND,65
10305,19,android,female,JPN,46
10306,39,ios,female,IND,32
10307,2,android,female,BRA,64
10308,25,android,male,GBR,55
10309,36,ios,male,GBR,43
10310,9,ios,female,TUR,52
10311,40,ios,male,ESP,30
10312,41,android,female,DEU,29
10313,43,ios,male,RUS,21
10314,29,ios,male,IND,30
10315,33,ios,male,TUR,47
10316,8,android,male,BRA,57
10317,50,android,female,DEU,21
10318,17,ios,male,RUS,45
10319,39,android,male,TUR,51
10320,37,android,female,RUS,43
10321,16,android,male,ESP,50
10322,34,ios,male,USA,46
10323,5,android,male,IND,48
10324,43,ios,male,RUS,51
10325,33,ios,male,FRA,39
10326,11,android,male,RUS,25
10327,49,android,female,IND,21
10328,31,ios,female,TUR,35
10329,18,ios,male,TUR,60
10330,11,android,male,GBR,42
10331,12,ios,male,DEU,19
10332,32,android,male,JPN,21
10333,41,android,male,TUR,46
10334,32,ios,male,GBR,32
10335,16,ios,male,RUS,50
10336,25,ios,male,USA,55
10337,21,android,female,GBR,23
10338,2,android,female,ESP,22
10339,7,ios,male,IND,21
10340,22,ios,male,GBR,62
10341,23,android,male,RUS,29
10342,6,ios,female,GBR,28
10343,41,ios,male,RUS,23
10344,21,android,male,JPN,46
10345,42,android,male,DEU,56
10346,21,ios,female,FRA,44
10347,26,ios,female,TUR,56
10348,9,android,male,DEU,44
10349,46,android,male,GBR,65
10350,25,ios,male,FRA,30
10351,10,ios,male,GBR,39
10352,22,ios,male,ESP,44
10353,46,ios,female,TUR,64
10354,44,ios,female,DEU,61
10355,36,ios,male,USA,40
10356,23,android,female,USA,37
10357,50,ios,male,TUR,24
10358,30,android,female,DEU,22
10359,32,android,female,FRA,30
10360,51,android,male,GBR,29
10361,29,ios,female,IND,42
10362,38,android,female,GBR,44
10363,38,ios,male,JPN,38
10364,48,ios,female,BRA,49
10365,40,android,female,ESP,23
10366,24,ios,female,DEU,40
10367,44,android,female,GBR,48
10368,47,android,male,IND,55
10369,10,ios,male,JPN,63
10370,23,ios,male,TUR,47
10371,31,android,male,FRA,54
10372,22,android,female,USA,34
10373,47,ios,female,IND,64
10374,45,android,male,ESP,24
10375,39,ios,female,JPN,48
10376,38,ios,female,IND,45
10377,16,ios,male,JPN,33
10378,3,ios,male,GBR,29
10379,30,android,female,ESP,25
10380,40,ios,male,IND,51
10381,23,android,male,GBR,56
10382,49,ios,male,RUS,45
10383,7,android,female,BRA,18
10384,32,ios,female,FRA,60
10385,6,ios,female,ESP,64
10386,24,android,male,BRA,26
10387,24,ios,male,TUR,25
10388,21,android,male,RUS,48
10389,23,ios,female,GBR,20
10390,44,android,male,RUS,45
10391,3,ios,male,RUS,35
10392,25,ios,female,IND,62
10393,2,ios,female,USA,18
10394,43,ios,female,TUR,31
10395,31,ios,female,TUR,33
10396,42,android,male,ESP,60
10397,37,ios,female,RUS,29
10398,3,android,male,JPN,32
10399,30,android,male,RUS,63
10400,29,ios,female,IND,48
10401,28,android,female,GBR,36
10402,49,ios,male,BRA,23
10403,42,android,female,JPN,65
10404,16,ios,male,USA,44
10405,41,ios,female,BRA,46
10406,4,android,female,IND,40
10407,21,ios,male,GBR,46
10408,49,ios,male,FRA,61
10409,18,android,female,RUS,53
10410,8,android,female,TUR,62
10411,20,ios,female,USA,27
10412,4,ios,male,DEU,29
10413,41,ios,female,IND,29
10414,24,android,male,GBR,28
10415,37,android,female,BRA,64
10416,38,android,female,BRA,60
10417,11,ios,male,ESP,28
10418,7,ios,male,GBR,48
10419,47,android,male,TUR,58
10420,40,ios,male,IND,58
10421,26,android,female,JPN,22
10422,18,ios,female,IND,24
10423,28,android,male,BRA,56
10424,37,ios,female,DEU,55
10425,50,android,male,USA,18
10426,5,ios,male,ESP,45
10427,32,android,male,TUR,33
10428,47,android,male,JPN,33
10429,16,ios,female,RUS,40
10430,2,ios,female,BRA,29
10431,7,ios,female,GBR,25
10432,38,ios,female,JPN,25
10433,2,ios,female,FRA,64
10434,9,ios,female,GBR,50
10435,46,ios,male,BRA,60
10436,12,ios,male,FRA,39
10437,14,android,female,USA,38
10438,20,ios,female,RUS,34
10439,31,ios,female,BRA,25
10440,39,ios,female,USA,56
10441,34,android,male,DEU,25
10442,23,ios,male,IND,31
10443,44,android,female,JPN,40
10444,5,ios,female,BRA,65
10445,51,ios,male,JPN,54
10446,33,android,female,GBR,57
10447,49,android,male,JPN,36
10448,50,ios,male,RUS,63
10449,9,android,female,DEU,56
10450,35,ios,male,RUS,61
10451,15,ios,male,GBR,46
10452,20,android,male,FRA,31
10453,43,android,female,DEU,42
10454,22,ios,female,BRA,30
10455,10,ios,female,ESP,28
10456,27,android,male,RUS,59
10457,6,ios,female,BRA,55
10458,45,ios,male,JPN,52
10459,11,ios,female,FRA,31
10460,29,ios,female,BRA,20
10461,20,ios,male,ESP,65
10462,11,ios,male,RUS,35
10463,3,ios,female,JPN,55
10464,26,android,male,ESP,36
10465,3,ios,male,USA,29
10466,36,ios,female,TUR,31
10467,9,android,male,USA,18
10468,5,android,female,IND,27
10469,4,ios,male,TUR,56
10470,18,ios,male,RUS,25
10471,33,ios,male,DEU,44
10472,22,ios,female,USA,36
10473,39,android,female,BRA,41
10474,39,ios,male,RUS,55
10475,47,ios,male,IND,53
10476,51,android,male,FRA,30
10477,37,ios,male,IND,41
10478,40,ios,female,FRA,64
10479,50,android,female,ESP,36
10480,8,ios,female,FRA,45
10481,39,android,female,USA,33
10482,49,android,female,IND,25
10483,40,ios,male,TUR,38
10484,51,android,male,DEU,63
10485,6,android,male,FRA,43
10486,28,ios,female,JPN,37
10487,31,ios,male,ESP,59
10488,10,ios,male,IND,32
10489,37,ios,male,IND,49
10490,29,ios,female,USA,20
10491,1,ios,female,FRA,48
10492,14,ios,male,BRA,30
10493,2,android,male,USA,57
10494,5,android,male,GBR,25
10495,7,android,female,IND,28
10496,41,ios,male,RUS,27
10497,25,ios,male,GBR,32
10498,42,android,male,JPN,63
10499,38,android,male,ESP,29
10500,27,android,female,RUS,55
10501,35,android,female,GBR,36
10502,33,ios,male,DEU,38
10503,2,android,male,TUR,49
10504,4,android,female,BRA,53
10505,47,ios,male,ESP,46
10506,1,android,male,DEU,43
10507,31,ios,female,JPN,53
10508,20,android,male,FRA,31
10509,36,ios,female,RUS,32
10510,34,android,female,ESP,24
10511,42,android,male,DEU,50
10512,3,android,female,JPN,37
10513,47,ios,female,FRA,43
10514,48,android,female,IND,65
10515,18,ios,female,DEU,27
10516,6,ios,male,TUR,22
10517,32,android,female,GBR,62
10518,1,android,female,IND,24
10519,30,android,female,TUR,54
10520,2,ios,female,JPN,49
10521,50,ios,male,JPN,49
10522,26,android,male,GBR,51
10523,29,android,female,GBR,46
10524,46,ios,male,JPN,59
10525,49,android,male,BRA,23
10526,36,ios,female,TUR,63
10527,49,android,female,ESP,45
10528,45,ios,male,JPN,31
10529,11,ios,female,JPN,63
10530,24,ios,female,IND,63
10531,1,android,male,FRA,64
10532,12,android,male,USA,50
10533,14,android,female,TUR,24
10534,27,ios,female,RUS,19
10535,2,android,male,ESP,50
10536,16,android,male,FRA,22
10537,32,ios,male,DEU,47
10538,41,ios,female,USA,46
10539,48,android,male,JPN,25
10540,24,android,female,TUR,35
10541,35,ios,male,TUR,46
10542,48,android,female,RUS,48
10543,41,android,female,BRA,63
10544,34,android,female,USA,50
10545,51,android,male,RUS,52
10546,18,android,male,IND,25
10547,23,ios,male,DEU,48
10548,24,ios,male,DEU,56
10549,30,android,female,JPN,62
10550,44,ios,female,GBR,23
10551,43,android,male,USA,63
10552,10,ios,female,TUR,45
10553,14,ios,male,RUS,40
10554,16,android,female,IND,60
10555,36,android,male,TUR,58
10556,51,ios,female,FRA,34
10557,25,android,male,FRA,52
10558,16,ios,female,FRA,34
10559,11,ios,female,IND,30
10560,16,ios,female,ESP,54
10561,7,android,female,GBR,39
10562,2,android,female,TUR,47
10563,6,android,female,RUS,55
10564,3,ios,male,JPN,62
10565,2,android,female,BRA,18
10566,35,ios,female,BRA,49
10567,2,ios,female,DEU,32
10568,44,android,male,DEU,48
10569,48,android,male,USA,31
10570,34,android,male,GBR,23
10571,26,android,female,RUS,49
10572,30,ios,male,RUS,47
10573,24,android,female,ESP,44
10574,17,ios,male,BRA,60
10575,10,android,female,USA,54
10576,17,ios,male,DEU,22
10577,15,android,female,JPN,65
10578,46,ios,female,ESP,64
10579,12,ios,female,GBR,50
10580,4,android,female,TUR,47
10581,25,android,male,IND,58
10582,47,android,male,FRA,65
10583,19,ios,male,TUR,18
10584,28,android,male,USA,27
10585,34,ios,male,USA,30
10586,19,ios,male,TUR,39
10587,1,ios,female,FRA,22
10588,22,ios,female,RUS,55
10589,7,ios,male,JPN,51
10590,30,android,female,JPN,47
10591,42,ios,male,USA,33
10592,25,ios,female,RUS,50
10593,21,android,female,BRA,60
10594,4,android,male,GBR,48
10595,24,android,female,FRA,20
10596,9,android,female,IND,41
10597,31,android,female,TUR,36
10598,2,android,female,RUS,25
10599,23,android,male,JPN,54
10600,22,ios,male,IND,41
10601,42,ios,male,DEU,39
10602,34,android,male,JPN,34
10603,50,ios,male,TUR,48
10604,5,android,male,JPN,25
10605,47,android,female,BRA,45
10606,14,ios,male,BRA,24
10607,49,ios,male,BRA,44
10608,10,ios,male,USA,28
10609,13,android,male,JPN,56
10610,1,ios,female,IND,42
10611,16,ios,male,FRA,48
10612,37,android,female,BRA,23
10613,7,ios,male,TUR,31
10614,35,android,male,USA,24
10615,45,ios,male,RUS,38
10616,34,ios,female,DEU,34
10617,43,ios,male,TUR,47
10618,13,ios,male,TUR,43
10619,32,android,female,FRA,44
10620,44,android,female,BRA,26
10621,15,android,male,DEU,35
10622,27,android,female,GBR,35
10623,50,ios,male,GBR,62
10624,51,android,female,TUR,50
10625,7,android,male,USA,28
10626,22,ios,male,FRA,39
10627,8,ios,male,FRA,32
10628,47,ios,female,GBR,41
10629,44,ios,male,FRA,47
10630,16,ios,female,GBR,42
10631,16,ios,female,DEU,62
10632,37,ios,male,DEU,42
10633,35,ios,male,JPN,35
10634,10,ios,male,USA,21
10635,30,ios,male,IND,35
10636,17,android,male,ESP,23
10637,43,ios,male,RUS,32
10638,30,ios,male,DEU,30
10639,17,ios,female,JPN,20
10640,31,android,male,USA,33
10641,31,android,female,USA,51
10642,7,android,female,IND,36
10643,4,ios,female,BRA,38
10644,32,android,female,DEU,25
10645,28,android,male,USA,29
10646,45,ios,female,TUR,31
10647,21,android,female,JPN,19
10648,30,ios,female,DEU,58
10649,9,ios,male,TUR,34
10650,12,ios,female,JPN,36
10651,15,ios,female,DEU,58
10652,22,ios,female,JPN,37
10653,14,ios,female,DEU,22
10654,26,ios,male,DEU,37
10655,48,android,male,DEU,20
10656,41,android,male,FRA,59
10657,9,android,female,FRA,22
10658,12,android,male,ESP,24
10659,1,ios,female,USA,60
10660,42,ios,male,IND,46
10661,28,android,male,DEU,44
10662,8,ios,female,DEU,42
10663,34,ios,female,RUS,40
10664,20,android,female,ESP,51
10665,16,android,female,ESP,44
10666,49,ios,male,JPN,38
10667,30,ios,female,TUR,27
10668,25,android,female,ESP,21
10669,46,android,female,IND,31
10670,25,android,female,GBR,57
10671,51,android,male,ESP,29
10672,48,android,female,ESP,25
10673,47,android,female,USA,22
10674,6,android,male,DEU,32
10675,48,ios,female,JPN,41
10676,50,ios,female,BRA,51
10677,27,ios,male,FRA,62
10678,36,ios,female,DEU,57
10679,31,android,male,RUS,55
10680,42,ios,male,ESP,53
10681,5,ios,female,FRA,22
10682,25,ios,male,BRA,42
10683,42,ios,male,TUR,40
10684,21,android,male,USA,21
10685,28,android,male,IND,58
10686,50,ios,male,BRA,35
10687,25,android,female,BRA,50
10688,14,ios,male,DEU,65
10689,41,android,male,JPN,62
10690,29,android,male,RUS,40
10691,22,android,female,RUS,38
10692,28,android,female,USA,52
10693,46,android,female,TUR,58
10694,20,ios,female,FRA,23
10695,16,android,female,USA,23
10696,18,android,female,TUR,65
10697,28,ios,male,IND,42
10698,10,ios,female,RUS,57
10699,6,android,male,USA,36
10700,34,android,male,IND,26
10701,14,ios,female,DEU,19
10702,20,ios,male,ESP,49
10703,24,ios,male,TUR,50
10704,19,android,male,FRA,33
10705,20,android,female,DEU,35
10706,24,ios,female,TUR,20
10707,33,android,female,FRA,56
10708,41,ios,male,FRA,53
10709,33,ios,male,USA,42
10710,41,ios,male,TUR,64
10711,44,android,female,IND,62
10712,41,ios,female,ESP,53
10713,51,android,female,RUS,58
10714,27,android,male,GBR,55
10715,15,ios,female,FRA,39
10716,37,ios,male,DEU,62
10717,30,ios,female,ESP,41
10718,15,ios,male,DEU,32
10719,34,android,male,JPN,45
10720,49,android,male,TUR,27
10721,10,android,male,RUS,63
10722,40,android,female,GBR,63
10723,12,android,male,BRA,26
10724,17,ios,female,BRA,60
10725,36,android,female,GBR,39
10726,41,ios,male,USA,46
10727,8,ios,male,FRA,47
10728,40,ios,male,GBR,29
10729,18,ios,male,GBR,43
10730,37,ios,female,GBR,32
10731,15,ios,male,DEU,63
10732,50,ios,male,DEU,50
10733,30,ios,male,ESP,30
10734,36,ios,male,FRA,23
10735,49,ios,male,GBR,34
10736,51,android,female,ESP,46
10737,42,android,female,JPN,34
10738,32,android,male,IND,61
10739,36,ios,female,TUR,34
10740,33,ios,male,GBR,33
10741,22,ios,male,ESP,28
10742,26,ios,female,ESP,48
10743,34,android,male,RUS,38
10744,50,android,male,TUR,65
10745,36,ios,female,RUS,63
10746,50,ios,male,GBR,45
10747,47,ios,male,IND,26
10748,9,android,male,FRA,58
10749,4,ios,male,FRA,40
10750,9,android,male,USA,38
10751,21,ios,female,USA,26
10752,50,android,female,GBR,19
10753,32,android,female,GBR,59
10754,12,android,female,BRA,25
10755,46,android,male,FRA,59
10756,22,ios,female,GBR,42
10757,46,android,male,FRA,34
10758,26,android,female,IND,30
10759,10,android,female,FRA,30
10760,16,android,male,BRA,32
10761,20,ios,female,RUS,47
10762,11,android,male,USA,22
10763,10,android,male,JPN,46
10764,8,android,female,USA,37
10765,21,android,female,BRA,32
10766,19,ios,female,GBR,33
10767,15,android,male,GBR,45
10768,49,android,male,FRA,32
10769,34,ios,female,ESP,52
10770,25,ios,female,IND,62
10771,6,ios,male,RUS,23
10772,39,ios,male,USA,58
10773,28,ios,female,JPN,27
10774,50,android,male,IND,41
10775,34,android,female,RUS,19
10776,40,android,male,DEU,50
10777,12,android,female,BRA,19
10778,36,android,female,TUR,24
10779,24,android,female,JPN,50
10780,37,android,male,TUR,35
10781,31,android,male,ESP,35
10782,7,android,male,JPN,56
10783,19,android,female,RUS,30
10784,3,ios,male,IND,37
10785,12,android,male,JPN,39
10786,12,android,male,DEU,52
10787,48,ios,male,FRA,65
10788,4,android,male,BRA,23
10789,42,android,male,BRA,40
10790,44,ios,female,BRA,59
10791,17,ios,female,GBR,23
10792,5,ios,male,FRA,55
10793,26,android,female,DEU,28
10794,32,ios,female,FRA,25
10795,14,ios,female,FRA,33
10796,26,android,male,DEU,34
10797,5,ios,male,FRA,27
10798,1,android,male,RUS,50
10799,43,android,female,FRA,59
10800,19,android,female,TUR,28
10801,39,android,female,GBR,32
10802,26,android,male,ESP,55
10803,11,ios,female,USA,58
10804,20,android,female,RUS,33
10805,43,ios,male,ESP,19
10806,19,android,male,ESP,59
10807,10,android,male,BRA,65
10808,20,ios,female,TUR,41
10809,50,ios,female,USA,18
10810,17,ios,male,DEU,50
10811,40,android,female,DEU,40
10812,32,ios,female,TUR,22
10813,47,android,female,JPN,27
10814,4,ios,female,IND,50
10815,35,android,male,BRA,20
10816,23,ios,female,ESP,56
10817,18,ios,male,IND,46
10818,24,android,female,IND,26
10819,24,ios,female,FRA,39
10820,32,ios,male,IND,57
10821,6,ios,male,TUR,49
10822,31,ios,male,ESP,27
10823,31,android,female,IND,32
10824,11,ios,female,IND,64
10825,12,ios,male,JPN,39
10826,17,android,female,TUR,56
10827,24,android,female,JPN,45
10828,28,android,male,FRA,46
10829,41,android,female,RUS,39
10830,16,ios,female,TUR,18
10831,40,ios,female,TUR,58
10832,39,android,female,IND,44
10833,20,android,female,USA,22
10834,18,android,male,GBR,64
10835,2,android,female,USA,46
10836,30,android,male,FRA,58
10837,46,android,male,DEU,65
10838,19,ios,female,DEU,47
10839,11,android,female,FRA,59
10840,11,ios,female,ESP,47
10841,40,android,male,JPN,24
10842,1,ios,female,TUR,57
10843,37,ios,male,BRA,55
10844,47,android,male,RUS,44
10845,36,android,female,FRA,57
